id,name,power,accuracy,pp,type_id,effect_chance,damage_class,effect,flavor_text
272,Role Play,,,10,14,,3,"User’s ability is replaced with the target’s until the user leaves the field.  Ignores accuracy and evasion modifiers.  If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.  This move cannot be copied by mirror move.",Mimics the target and copies its special ability.
507,Sky Drop,60,100,10,3,,1,"Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pokémon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.  If the target is flying-type, this move will function as normal but inflict no damage.  gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.  The damage from hail and sandstorm still applies during this effect.  Either Pokémon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.  *Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it.","The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky."
485,Synchronoise,120,100,10,14,,2,Inflicts regular damage.  Only Pokémon that share a type with the user will take damage from this move.,"Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it."
115,Reflect,,,20,14,,3,"Erects a barrier around the user’s side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay, the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier.",Raises DEFENSE with a barrier.
147,Spore,,100,15,12,,3,Puts the target to sleep.,A move that induces sleep.
546,Techno Blast,120,100,5,1,,2,"Inflicts regular damage.  If the user is holding a plate or a drive, this move’s type is the type corresponding to that item.  Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates.",The user fires a beam of light at its target. The type changes depending on the Drive the user holds.
280,Brick Break,75,100,15,2,,1,"Destroys any light screen or reflect on the target’s side of the field, then inflicts regular damage.",Destroys barriers such as REFLECT and causes damage.
114,Haze,,,30,15,,3,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.  This does not count as a stat reduction for the purposes of clear body or white smoke.",Eliminates all stat changes.
337,Dragon Claw,80,100,15,16,,1,Inflicts regular damage.,Slashes the foe with sharp claws.
662,Spirit Shackle,80,100,10,8,,1,Inflicts regular damage.  Traps the target.,The user attacks while simultaneously stitching the target’s shadow to the ground to prevent the target from escaping.
297,Feather Dance,,100,15,3,,3,Lowers the target’s Attack by two stages.,Envelops the foe with down to sharply reduce ATTACK.
21,Slam,80,75,20,1,,1,Inflicts regular damage.,"Slams the foe with a tail, vine, etc."
509,Circle Throw,60,90,10,2,,1,"Inflicts regular damage, then switches the target out for another of its trainer’s Pokémon, selected at random.  If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pokémon, it will not be switched out.  If the target is a wild Pokémon, the battle ends instead.","The user throws the target and drags out another Pokémon in its party. In the wild, the battle ends."
35,Wrap,15,90,20,1,100,1,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",Squeezes the foe for 2-5 turns.
311,Weather Ball,50,100,10,1,,2,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.",The move’s type and power change with the weather.
710,Liquidation,85,100,10,11,20,1,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.
846,Bleakwind Storm,100,80,10,3,,2,,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also leave the target with frostbite.
401,Aqua Tail,90,90,10,11,,1,Inflicts regular damage.,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
28,Sand Attack,,100,15,5,,3,Lowers the target’s accuracy by one stage.,Reduces accuracy by throwing sand.
217,Present,,90,15,1,,1,"Randomly uses one of the following effects.  Effect                                             | Chance -------------------------------------------------- | -----: Inflicts regular damage with 40 power  |    40% Inflicts regular damage with 80 power  |    30% Inflicts regular damage with 120 power |    10% Heals the target for 1/4 its max HP    |    20%  On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",A bomb that may restore HP.
457,Head Smash,150,80,5,6,,1,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.,The user delivers a life-endangering head butt at full power. The user also takes terrible damage.
505,Heal Pulse,,,10,14,,3,Heals the target for half its max HP.,The user emits a healing pulse which restores the target’s HP by up to half of its max HP.
342,Poison Tail,50,100,25,4,10,1,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move. Has a $effect_chance% chance to poison the target.,Has a high critical-hit ratio. May also poison.
856,Order Up,80,100,10,16,,1,,"The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user's stats based on the Tatsugiri's form."
148,Flash,,100,20,1,,3,Lowers the target’s accuracy by one stage.,Blinds the foe to reduce accuracy.
65,Drill Peck,80,100,20,3,,1,Inflicts regular damage.,"A strong, spin­ ning-peck attack."
141,Leech Life,80,100,10,7,,1,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Steals 1/2 of the damage inflicted.
904,Ivy Cudgel,100,100,10,12,,1,,"The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit."
43,Leer,,100,30,1,100,3,Lowers the target’s Defense by one stage.,Reduces the foe's DEFENSE.
482,Sludge Wave,95,100,10,4,10,2,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,It swamps the area around the user with a giant sludge wave. It may also poison those hit.
510,Incinerate,60,100,15,10,,2,"Inflicts regular damage.  If the target is holding a berry, it’s destroyed and cannot be used in response to this move.","The user attacks the target with fire. If the target is holding a Berry, the Berry becomes burnt up and unusable."
118,Metronome,,,10,1,,3,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.  This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",Randomly uses any POKéMON move.
593,Hyperspace Hole,80,,5,14,,2,Inflicts regular damage.  Bypasses and removes any protection effect on the target.,"Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using Protect or Detect."
668,Strength Sap,,100,10,12,100,3,"Lowers the target’s Attack by one stage.  Heals the user by the target’s current Attack, including modifiers, but not including this move’s Attack-lowering effect.  If the target’s Attack is already at -6, this move will fail.  In any other situation that would prevent a stat modification, the healing will still succeed.",The user restores its HP by the same amount as the target’s Attack stat. It also lowers the target’s Attack stat.
543,Head Charge,120,100,15,1,,1,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,"The user charges its head into its target, using its powerful guard hair. It also damages the user a little."
122,Lick,30,100,30,8,30,1,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,An attack that may cause paralysis.
353,Doom Desire,140,100,5,9,,2,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won’t change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.  This effect breaks through wonder guard.  If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.  The damage is applied at the end of the turn, so it ignores endure and focus sash.  This move cannot be copied by mirror move.",Summons strong sunlight to attack 2 turns later.
887,Hyper Drill,100,100,5,1,,1,,The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.
686,Revelation Dance,90,100,15,1,,2,"Inflicts regular damage.  This move’s type matches the user’s first type, if any; otherwise, it’s typeless.",The user attacks the target by dancing very hard. The user’s type determines the type of this move.
833,Raging Fury,120,100,10,10,,1,,"The user rampages and spews vicious flames to inflict damage on the target, then becomes fixated on using this move."
750,Magic Powder,,100,20,14,,3,,The user scatters a cloud of magic powder that changes the target to Psychic type.
126,Fire Blast,110,85,5,10,10,2,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,An attack that may cause a burn.
69,Seismic Toss,,100,20,2,,1,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",The user's level equals damage HP.
306,Crush Claw,75,95,10,1,50,1,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,Tears at the foe with sharp claws. May lower DEFENSE.
421,Shadow Claw,70,100,15,8,,1,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,The user slashes with a sharp claw made from shadows. It has a high critical-hit ratio.
394,Flare Blitz,120,100,15,10,10,1,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.","The user cloaks itself in fire and charges at the foe. The user sustains serious damage, too."
218,Frustration,,100,20,1,,1,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",An attack based on lack of loyalty.
251,Beat Up,,100,10,17,,1,"Inflicts typeless regular damage.  Every Pokémon in the user’s party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.  This effect breaks through wonder guard.",Party POKéMON join in the attack.
283,Endeavor,,100,5,1,,1,"Inflicts exactly enough damage to lower the target’s HP to equal the user’s.  If the target’s HP is not higher than the user’s, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.",Gains power if the user’s HP is lower than the foe’s HP.
917,Psychic Noise,75,100,10,14,,2,,"The user attacks the target with unpleasant sound waves. For two turns, the target is prevented from recovering HP through moves, Abilities, or held items."
19,Fly,90,95,15,3,,1,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.",1st turn: Fly 2nd turn: Attack
164,Substitute,,,10,1,,3,"Transfers 1/4 the user’s max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.  The doll takes damage as normal, using the user’s stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user’s HP still do so; the doll’s HP does not influence any move.  The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.  Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.  It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.  The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.  life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.  The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.  The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon’s stats and types for damage calculation.  All other effects work as normal.",Makes a decoy with 1/4 user's max HP.
483,Quiver Dance,,,20,7,,3,"Raises the user’s Special Attack, Special Defense, and Speed by one stage each.","The user lightly performs a beautiful, mystic dance. It boosts the user’s Sp. Atk, Sp. Def, and Speed stats."
350,Rock Blast,25,90,10,6,,1,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hurls boulders at the foe 2 to 5 times in a row.
576,Topsy Turvy,,,20,17,,3,Inverts the target’s stat modifiers.,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.
104,Double Team,,,15,1,,3,Raises the user’s evasion by one stage.,Heightens evasive­ ness.
564,Sticky Web,,,20,7,,3,"Shoots a web over the opponents’ side of the field, which lowers the Speed of any opposing Pokémon that enters the field by one stage.  Pokémon in the air, such as flying-types and those with levitate, are unaffected.  rapid spin removes Sticky Web from the user’s side of the field; defog removes it from both sides.","The user weaves a sticky net around the opposing team, which lowers their Speed stat upon switching into battle."
877,Ruination,1,90,10,17,,2,,The user summons a ruinous disaster. This cuts the target’s HP in half.
53,Flamethrower,90,100,15,10,10,2,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,An attack that may inflict a burn.
105,Recover,,,5,1,,3,Heals the user for half its max HP.,Recovers up to half the user’s maximum HP.
356,Gravity,,,5,14,,3,"For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.  Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.  bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.  *Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop’s effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it.","Gravity is intensified for five turns, making moves involving flying unusable and negating Levitation."
486,Electro Ball,,100,10,13,,2,"Inflicts regular damage.  The greater the user’s Speed compared to the target’s, the higher power this move has, to a maximum of 150.  User’s Speed                     | Power -------------------------------- | ----: Up to 2× the target’s Speed      |    60 Up to 3× the target’s Speed      |    80 Up to 4× the target’s Speed      |   120 More than 4× the target’s Speed  |   150 ","The user hurls an electric orb at the target. The faster the user is than the target, the greater the damage."
256,Swallow,,,10,1,,3,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.",Absorbs stockpiled power and restores HP.
618,Origin Pulse,110,85,10,11,,2,Inflicts regular damage.,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
465,Seed Flare,120,85,5,12,40,2,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by two stages.,The user generates a shock wave from within its body. It may also lower the target’s Sp. Def.
461,Lunar Dance,,,10,14,,3,"User faints.  Its replacement’s HP and PP are fully restored, and any major status effect is removed.","The user faints. In return, the Pokémon taking its place will have its status and HP fully restored."
296,Mist Ball,95,100,5,14,50,2,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Attack by one stage.,Attacks with a flurry of down. May lower SP. ATK.
597,Aromatic Mist,,,20,18,,3,Raises a selected ally’s Special Defense by one stage.,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
460,Spacial Rend,100,95,5,16,,2,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,The user tears the foe along with the space around it. This move has a high critical-hit ratio.
268,Charge,,,20,13,,3,"Raises the user’s Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled.",Charges power to boost the electric move used next.
406,Dragon Pulse,85,100,10,16,,2,Inflicts regular damage.,The foe is attacked with a shock wave generated by the user’s gaping mouth.
153,Explosion,250,100,5,1,,1,"User faints, even if the attack fails or misses.  Inflicts regular damage.",Very powerful but makes user faint.
888,Twin Beam,40,100,10,14,,2,,The user shoots mystical beams from its eyes to inflict damage. The target is hit twice in a row.
286,Imprison,,,10,14,,3,"Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user’s moves when this move is used, this move will fail.",Prevents foes from using moves known by the user.
46,Roar,,,20,1,,3,Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.  Doesn’t affect Pokémon with suction cups or under the effect of ingrain.,Scares wild foes to end battle.
39,Tail Whip,,100,30,1,,3,Lowers the target’s Defense by one stage.,Lowers the foe's DEFENSE.
229,Rapid Spin,50,100,40,1,100,1,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user’s side of the field.  If this move misses or has no effect, its effect doesn’t activate.",A high-speed spinning attack.
3,Double Slap,15,85,10,1,,1,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Repeatedly slaps 2-5 times.
57,Surf,90,100,15,11,,2,"Inflicts regular damage.  If the target is in the first turn of dive, this move will hit with double power.",A strong water- type attack.
864,Salt Cure,40,100,15,6,,1,,"The user salt cures the target, inflicting damage every turn. Steel and Water types are more strongly affected by this move."
67,Low Kick,,100,20,2,,1,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.  Target’s weight | Power --------------- | ----: Up to 10kg      |    20 Up to 25kg      |    40 Up to 50kg      |    60 Up to 100kg     |    80 Up to 200kg     |   100 Above 200kg     |   120 ",An attack that may cause flinching.
506,Hex,65,100,10,8,,2,"Inflicts regular damage.  If the target has a major status ailment, this move has double power.",This relentless attack does massive damage to a target affected by status problems.
325,Shadow Punch,60,,20,8,,1,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,An unavoidable punch that is thrown from shadows.
