pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,flavor_text
23,Ekans,35,60,44,40,54,55,2.0,6.9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,60,95,69,65,79,80,3.5,65.0,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,35,55,40,50,50,90,0.4,6.0,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,Raichu,60,90,55,90,80,110,0.8,30.0,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,Sandshrew,50,75,85,20,30,40,0.6,12.0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,75,100,110,45,55,65,1.0,29.5,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran F,55,47,52,40,40,41,0.4,7.0,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,Nidorina,70,62,67,55,55,56,0.8,20.0,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,90,92,87,75,85,76,1.3,60.0,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran M,46,57,40,40,40,50,0.5,9.0,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Nidorino,61,72,57,55,55,65,0.9,19.5,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,81,102,77,85,75,85,1.4,62.0,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,Clefairy,70,45,48,60,65,35,0.6,7.5,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,95,70,73,95,90,60,1.3,40.0,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,38,41,40,50,65,65,0.6,9.9,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Ninetales,73,76,75,81,100,100,1.1,19.9,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,115,45,20,45,25,20,0.5,5.5,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,140,70,45,85,50,45,1.0,12.0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,40,45,35,30,40,55,0.8,7.5,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,75,80,70,65,75,90,1.6,55.0,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,45,50,55,75,65,30,0.5,5.4,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,60,65,70,85,75,40,0.8,8.6,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,Vileplume,75,80,85,110,90,50,1.2,18.6,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,Paras,35,70,55,45,55,25,0.3,5.4,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
47,Parasect,60,95,80,60,80,30,1.0,29.5,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,60,55,50,40,55,45,1.0,30.0,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,70,65,60,90,75,90,1.5,12.5,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
50,Diglett,10,55,25,35,45,95,0.2,0.8,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,35,100,50,50,70,120,0.7,33.3,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,40,45,35,40,40,90,0.4,4.2,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
53,Persian,65,70,60,65,65,115,1.0,32.0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,50,52,48,65,50,55,0.8,19.6,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,Golduck,80,82,78,95,80,85,1.7,76.6,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,40,80,35,35,45,70,0.5,28.0,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,65,105,60,60,70,95,1.0,32.0,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,55,70,45,70,50,60,0.7,19.0,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,90,110,80,100,80,95,1.9,155.0,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,40,50,40,40,40,90,0.6,12.4,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,65,65,65,50,50,90,1.0,20.0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,90,95,95,70,90,70,1.3,54.0,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,25,20,15,105,55,90,0.9,19.5,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,40,35,30,120,70,105,1.3,56.5,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,55,50,45,135,95,120,1.5,48.0,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
66,Machop,70,80,50,35,35,35,0.8,19.5,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,80,100,70,50,60,45,1.5,70.5,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,90,130,80,65,85,55,1.6,130.0,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,50,75,35,70,30,40,0.7,4.0,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,65,90,50,85,45,55,1.0,6.4,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,80,105,65,100,70,70,1.7,15.5,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,40,40,35,50,100,70,0.9,45.5,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,80,70,65,80,120,100,1.6,55.0,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,40,80,100,30,30,20,0.4,20.0,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,55,95,115,45,45,35,1.0,105.0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,80,120,130,55,65,45,1.4,300.0,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,Ponyta,50,85,55,65,65,90,1.0,30.0,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,Rapidash,65,100,70,80,80,105,1.7,95.0,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,Slowpoke,90,65,65,40,40,15,1.2,36.0,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,Slowbro,95,75,110,100,80,30,1.6,78.5,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,Magnemite,25,35,70,95,55,45,0.3,6.0,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,50,60,95,120,70,70,1.0,60.0,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetchd,52,90,55,58,62,60,0.8,15.0,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,Doduo,35,85,45,35,35,75,1.4,39.2,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,60,110,70,60,60,110,1.8,85.2,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,65,45,55,45,70,45,1.1,90.0,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,Dewgong,90,70,80,70,95,70,1.7,120.0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,Grimer,80,80,50,40,50,25,0.9,30.0,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,105,105,75,65,100,50,1.2,30.0,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Shellder,30,65,100,45,25,40,0.3,4.0,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,50,95,180,85,45,70,1.5,132.5,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,30,35,30,100,35,80,1.3,0.1,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,Haunter,45,50,45,115,55,95,1.6,0.1,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
94,Gengar,60,65,60,130,75,110,1.5,40.5,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,Onix,35,45,160,30,45,70,8.8,210.0,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,60,48,45,43,90,42,1.0,32.4,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,85,73,70,73,115,67,1.6,75.6,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,30,105,90,25,25,50,0.4,6.5,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,55,130,115,50,50,75,1.3,60.0,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,40,30,50,55,55,100,0.5,10.4,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,Electrode,60,50,70,80,80,150,1.2,66.6,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,Exeggcute,60,40,80,60,45,40,0.4,2.5,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,Exeggutor,95,95,85,125,75,55,2.0,120.0,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,Cubone,50,50,95,40,50,35,0.4,6.5,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,Marowak,60,80,110,50,80,45,1.0,45.0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,50,120,53,35,110,87,1.5,49.8,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,50,105,79,35,110,76,1.4,50.2,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,90,55,75,60,75,30,1.2,65.5,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,Koffing,40,65,95,60,45,35,0.6,1.0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,Weezing,65,90,120,85,70,60,1.2,9.5,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,Rhyhorn,80,85,95,30,30,25,1.0,115.0,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
112,Rhydon,105,130,120,45,45,40,1.9,120.0,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Chansey,250,5,5,35,105,50,1.1,34.6,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,Tangela,65,55,115,100,40,60,1.0,35.0,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
115,Kangaskhan,105,95,80,40,80,90,2.2,80.0,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,Horsea,30,40,70,70,25,60,0.4,8.0,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Seadra,55,65,95,95,45,85,1.2,25.0,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,Goldeen,45,67,60,35,50,63,0.6,15.0,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,Seaking,80,92,65,65,80,68,1.3,39.0,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,Staryu,30,45,55,70,55,85,0.8,34.5,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,Starmie,60,75,85,100,85,115,1.1,80.0,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,Mr Mime,40,45,65,100,120,90,1.3,54.5,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,Scyther,70,110,80,55,80,105,1.5,56.0,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,Jynx,65,50,35,115,95,95,1.4,40.6,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,Electabuzz,65,83,57,95,85,105,1.1,30.0,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Magmar,65,95,57,100,85,93,1.3,44.5,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,Pinsir,65,125,100,55,70,85,1.5,55.0,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,Tauros,75,100,95,40,70,110,1.4,88.4,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,Magikarp,20,10,55,15,20,80,0.9,10.0,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,95,125,79,60,100,81,6.5,235.0,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
131,Lapras,130,85,80,85,95,60,2.5,220.0,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
132,Ditto,48,48,48,48,48,48,0.3,4.0,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,Eevee,55,55,50,45,65,55,0.3,6.5,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Vaporeon,130,65,60,110,95,65,1.0,29.0,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,Jolteon,65,65,60,110,95,130,0.8,24.5,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,Flareon,65,130,60,95,110,65,0.9,25.0,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Porygon,65,60,70,85,75,40,0.8,36.5,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,Omanyte,35,40,100,90,55,35,0.4,7.5,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,Omastar,70,60,125,115,70,55,1.0,35.0,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,Kabuto,30,80,90,55,45,55,0.5,11.5,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,Kabutops,60,115,105,65,70,80,1.3,40.5,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
142,Aerodactyl,80,105,65,60,75,130,1.8,59.0,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
143,Snorlax,160,110,65,65,110,30,2.1,460.0,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,Articuno,90,85,100,95,125,85,1.7,55.4,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,90,90,85,125,90,100,1.6,52.6,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,Moltres,90,100,90,125,85,90,2.0,60.0,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,41,64,45,50,50,50,1.8,3.3,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dragonair,61,84,65,70,70,70,4.0,16.5,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,91,134,95,100,100,80,2.2,210.0,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,Mewtwo,106,110,90,154,90,130,2.0,122.0,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,100,100,100,100,100,100,0.4,4.0,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Chikorita,45,49,65,49,65,45,0.9,6.4,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
153,Bayleef,60,62,80,63,80,60,1.2,15.8,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,Meganium,80,82,100,83,100,80,1.8,100.5,The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,Cyndaquil,39,52,43,60,50,65,0.5,7.9,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
156,Quilava,58,64,58,80,65,80,0.9,19.0,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,78,84,78,109,85,100,1.7,79.5,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,Totodile,50,65,64,44,48,43,0.6,9.5,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,Croconaw,65,80,80,59,63,58,1.1,25.0,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,Feraligatr,85,105,100,79,83,78,2.3,88.8,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,Sentret,35,46,34,35,45,20,0.8,6.0,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,Furret,85,76,64,45,55,90,1.8,32.5,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,Hoothoot,60,30,30,36,56,50,0.7,21.2,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,100,50,50,86,96,70,1.6,40.8,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,40,20,30,40,80,55,1.0,10.8,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,55,35,50,55,110,85,1.4,35.6,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,Spinarak,40,60,40,40,40,30,0.5,8.5,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,70,90,70,60,70,40,1.1,33.5,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,85,90,80,70,80,130,1.8,75.0,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,75,38,38,56,56,67,0.5,12.0,Chinchou blink their shining antennae at one another to claim their respective turf.
171,Lanturn,125,58,58,76,76,67,1.2,22.5,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
172,Pichu,20,40,15,35,35,60,0.3,2.0,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,50,25,28,45,55,15,0.3,3.0,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,Igglybuff,90,30,15,40,20,15,0.3,1.0,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,35,20,65,40,65,20,0.3,1.5,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,55,40,85,80,105,40,0.6,3.2,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
177,Natu,40,50,45,70,45,70,0.2,2.0,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
178,Xatu,65,75,70,95,70,95,1.5,15.0,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,55,40,40,65,45,35,0.6,7.8,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,Flaaffy,70,55,55,80,60,45,0.8,13.3,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,Ampharos,90,75,85,115,90,55,1.4,61.5,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,75,80,95,90,100,50,0.4,5.8,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
183,Marill,70,20,50,20,50,40,0.4,8.5,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
184,Azumarill,100,50,80,60,80,50,0.8,28.5,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.
185,Sudowoodo,70,100,115,30,65,30,1.2,38.0,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
186,Politoed,90,75,75,90,100,70,1.1,33.9,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
187,Hoppip,35,35,40,35,55,50,0.4,0.5,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,Skiploom,55,45,50,45,65,80,0.6,1.0,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
189,Jumpluff,75,55,70,55,95,110,0.8,3.0,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
190,Aipom,55,70,55,40,55,85,0.8,11.5,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,Sunkern,30,30,30,30,30,30,0.3,1.8,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,Sunflora,75,75,55,105,85,30,0.8,8.5,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
193,Yanma,65,65,45,75,45,95,1.2,38.0,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
194,Wooper,55,45,45,25,25,15,0.4,8.5,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
195,Quagsire,95,85,85,65,65,35,1.4,75.0,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
196,Espeon,65,65,60,130,95,110,0.9,26.5,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.
197,Umbreon,95,65,110,60,130,65,1.0,27.0,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
198,Murkrow,60,85,42,85,42,91,0.5,2.1,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,Slowking,95,75,80,100,110,30,2.0,79.5,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
200,Misdreavus,60,60,60,85,85,85,0.7,1.0,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201,Unown,48,72,48,72,48,48,0.5,5.0,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.
202,Wobbuffet,190,33,58,33,58,33,1.3,28.5,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
203,Girafarig,70,80,65,90,65,85,1.5,41.5,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,Pineco,50,65,90,35,35,15,0.6,7.2,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
205,Forretress,75,90,140,60,60,40,1.2,125.8,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
206,Dunsparce,100,70,70,65,65,45,1.5,14.0,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail."
207,Gligar,65,75,105,35,65,85,1.1,64.8,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
208,Steelix,75,85,200,55,65,30,9.2,400.0,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
209,Snubbull,60,80,50,40,40,30,0.6,7.8,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
210,Granbull,90,120,75,60,60,45,1.4,48.7,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
211,Qwilfish,65,95,85,55,55,85,0.5,3.9,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
212,Scizor,70,130,100,55,80,65,1.8,118.0,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.
213,Shuckle,20,10,230,10,230,5,0.6,20.5,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
214,Heracross,80,125,75,40,95,85,1.5,54.0,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn."
215,Sneasel,55,95,55,35,75,115,0.9,28.0,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
216,Teddiursa,60,80,50,50,50,40,0.6,8.8,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
217,Ursaring,90,130,75,75,75,55,1.8,125.8,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
218,Slugma,40,40,40,70,40,20,0.7,35.0,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
219,Magcargo,60,50,120,90,80,30,0.8,55.0,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
220,Swinub,50,50,40,30,30,50,0.4,6.5,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
221,Piloswine,100,100,80,60,60,50,1.1,55.8,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
222,Corsola,65,55,95,65,95,35,0.6,5.0,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
223,Remoraid,35,65,35,65,35,65,0.6,12.0,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.
224,Octillery,75,105,75,105,75,45,0.9,28.5,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.
225,Delibird,45,55,45,65,45,75,0.9,16.0,It carries food all day long. There are tales about lost people who were saved by the food it had.
